,0
349,3
350,2
351,0
352,1
353,4
354,1
355,1
356,4
357,5
358,2
359,0
360,1
361,1
362,1
363,4
364,5
365,4
366,1
367,0
368,3
369,4
370,5
371,5
372,3
373,5
374,3
375,5
376,4
377,2
378,4
379,4
380,1
381,5
382,1
383,5
384,4
385,2
386,3
387,2
388,0
389,4
390,4
391,0
392,1
393,0
394,4
395,4
396,3
397,0
398,0
399,1
400,2
401,3
402,5
403,0
404,5
405,2
406,5
407,3
408,1
409,4
410,3
411,0
412,4
413,0
414,5
415,5
416,2
417,4
418,3
419,0
420,3
421,3
422,0
423,1
424,1
425,5
426,3
427,0
428,5
429,3
430,1
431,5
432,0
433,0
434,0
435,0
436,2
437,2
438,0
439,5
440,1
441,5
442,0
443,1
444,1
445,3
446,2
447,5
448,1
449,4
450,0
451,3
452,0
453,4
454,3
455,0
456,4
457,5
458,4
459,1
460,1
461,0
462,0
463,1
464,0
465,3
466,1
467,1
468,3
469,5
470,1
471,1
472,0
473,1
474,4
475,1
476,2
477,1
478,2
479,3
480,1
481,2
482,4
483,0
484,0
485,3
486,2
487,1
488,1
489,4
490,3
491,4
492,0
493,1
494,3
495,1
496,5
497,1
498,2
499,5
500,4
501,2
502,1
503,3
504,1
505,5
506,4
507,3
508,2
509,0
510,5
511,4
512,4
513,1
514,5
515,3
516,5
517,5
518,2
519,1
520,3
521,5
522,5
523,4
524,3
525,2
526,1
527,4
528,1
529,0
530,2
531,3
532,4
533,3
534,1
535,3
536,4
537,0
538,1
539,0
540,5
541,5
542,4
543,1
544,1
545,0
546,4
547,4
548,4
549,2
550,4
551,3
552,2
553,5
554,0
555,5
556,2
557,0
558,5
559,2
560,1
561,0
562,5
563,4
564,3
565,4
566,0
567,3
568,2
569,1
570,1
571,0
572,1
573,5
574,0
575,1
576,3
577,3
578,4
579,1
580,4
581,2
582,2
583,2
584,5
585,0
586,0
587,4
588,5
589,5
590,1
591,2
592,1
593,4
594,2
595,5
596,1
597,5
598,4
599,5
600,2
601,2
602,4
603,0
604,4
605,2
606,1
607,5
608,2
609,1
610,1
611,5
612,3
613,1
614,0
615,5
616,4
617,2
618,5
619,5
620,3
621,2
622,4
623,1
624,2
625,1
626,5
627,2
628,0
629,2
630,4
631,3
632,2
633,5
634,1
635,4
636,2
637,4
638,4
639,2
640,1
641,2
642,3
643,2
644,5
645,5
646,0
647,2
648,2
649,3
650,0
651,2
652,4
653,5
654,0
655,0
656,1
657,0
658,0
659,4
660,1
661,5
662,5
663,2
664,5
665,0
666,4
667,1
668,5
669,5
670,5
671,5
672,2
673,0
674,5
675,0
676,1
677,3
678,5
679,4
680,2
681,5
682,0
683,3
684,5
685,2
686,1
687,1
688,2
689,3
690,4
691,2
692,5
693,1
694,1
695,1
696,1
697,4
698,5
699,2
700,1
701,4
702,1
703,1
704,2
705,0
706,4
707,4
708,5
709,2
710,0
711,4
712,4
713,2
714,5
715,4
716,2
717,5
718,0
719,1
720,2
721,4
722,3
723,3
724,5
725,1
726,3
727,4
728,2
729,2
730,4
731,3
732,5
733,2
734,3
735,2
736,3
737,0
738,4
739,5
740,4
741,3
742,4
743,1
744,5
745,2
746,0
747,4
748,0
749,3
750,1
751,4
752,3
753,3
754,5
755,5
756,2
757,2
758,4
759,2
760,4
761,5
762,1
763,3
764,1
765,1
766,2
767,1
768,1
769,2
770,4
771,3
772,1
773,0
774,0
775,4
776,4
777,3
778,4
779,1
780,3
781,3
782,5
783,1
784,5
785,5
786,4
787,3
788,4
789,3
790,3
791,4
792,0
793,4
794,5
795,4
796,2
797,4
798,3
799,5
800,4
801,2
802,0
803,5
804,4
805,2
806,0
807,1
808,4
809,2
810,4
811,0
812,2
813,4
814,1
815,2
816,4
817,4
818,5
819,4
820,5
821,0
822,2
823,1
824,0
825,4
826,1
827,3
828,1
829,4
830,1
831,1
832,3
833,4
834,1
835,4
836,2
837,1
838,3
839,4
840,0
841,4
842,1
843,4
844,2
845,3
846,4
847,1
848,1
849,0
850,4
851,4
852,4
853,5
854,3
855,5
856,0
857,0
858,2
859,4
860,5
861,1
862,4
863,4
864,0
865,0
866,0
867,0
868,4
869,3
870,0
871,3
872,0
873,1
874,0
875,2
876,2
877,4
878,4
879,3
880,1
881,5
882,4
883,5
884,1
885,5
886,2
887,1
888,2
889,1
890,4
891,3
892,0
893,4
894,2
895,1
896,1
897,3
898,0
899,3
900,0
901,5
902,0
903,0
904,4
905,2
906,2
907,5
908,1
909,2
910,3
911,4
912,1
913,2
914,0
915,2
916,0
917,2
918,3
919,2
920,3
921,5
922,2
923,2
924,0
925,0
926,5
927,5
928,1
929,2
930,1
931,1
932,3
933,5
934,3
935,4
936,2
937,4
938,5
939,3
940,0
941,0
942,0
943,4
944,1
945,1
946,1
947,4
948,0
949,0
950,4
951,2
952,2
953,0
954,1
955,1
956,0
957,2
958,2
959,0
960,4
961,0
962,5
963,2
964,2
965,2
966,5
967,4
968,2
969,5
970,2
971,0
972,2
973,4
974,5
975,2
976,5
977,5
978,2
979,3
980,5
981,2
982,1
983,2
984,5
985,3
986,1
987,4
988,2
989,3
990,5
991,3
992,0
993,5
994,5
995,3
996,1
997,0
998,0
999,2
1000,4
1001,3
1002,2
1003,1
1004,3
1005,5
1006,1
1007,4
1008,3
1009,0
1010,2
1011,5
1012,5
1013,2
1014,1
1015,2
1016,5
1017,2
1018,4
1019,3
1020,4
1021,0
1022,5
1023,5
1024,2
1025,1
1026,3
1027,5
1028,0
1029,4
1030,1
1031,2
1032,0
1033,5
1034,5
1035,5
1036,3
1037,1
1038,1
1039,1
1040,5
1041,4
1042,4
1043,1
1044,3
1045,5
1046,3
1047,1
1048,3
1049,5
1050,1
1051,3
1052,4
1053,4
1054,2
1055,0
1056,1
1057,3
1058,3
1059,1
1060,3
1061,2
1062,3
1063,1
1064,2
1065,2
1066,1
1067,3
1068,5
1069,3
1070,2
1071,0
1072,3
1073,1
1074,5
1075,2
1076,4
1077,3
1078,3
1079,2
1080,0
1081,1
1082,3
1083,5
1084,0
1085,2
1086,2
1087,1
1088,4
1089,0
1090,5
1091,5
1092,0
1093,3
1094,4
1095,1
1096,4
1097,3
1098,3
1099,2
1100,0
1101,0
1102,0
1103,3
1104,5
1105,5
1106,4
1107,1
1108,0
1109,0
1110,3
1111,2
1112,0
1113,1
1114,1
1115,1
1116,3
1117,1
1118,1
1119,3
1120,4
1121,1
1122,5
1123,4
1124,2
1125,2
1126,4
1127,1
1128,3
1129,2
1130,5
1131,5
1132,2
1133,5
1134,2
1135,2
1136,4
1137,0
1138,2
1139,1
1140,4
1141,1
1142,0
1143,2
1144,3
1145,2
1146,2
1147,4
1148,0
1149,4
1150,0
1151,2
1152,1
1153,4
1154,1
1155,2
1156,3
1157,4
1158,3
1159,1
1160,0
1161,0
1162,0
1163,2
1164,4
1165,0
1166,5
1167,2
1168,1
1169,3
1170,0
1171,0
1172,5
1173,4
1174,0
1175,5
1176,2
1177,5
1178,2
1179,0
1180,3
1181,4
1182,5
1183,5
1184,2
1185,0
1186,3
1187,4
1188,5
1189,2
1190,3
1191,5
1192,2
1193,1
1194,2
1195,2
1196,2
1197,0
1198,3
1199,3
1200,5
1201,4
1202,4
1203,4
1204,3
1205,4
1206,5
1207,5
1208,3
1209,4
1210,0
1211,1
1212,5
1213,5
1214,5
1215,0
1216,3
1217,1
1218,0
1219,2
1220,0
1221,2
1222,4
1223,0
1224,2
1225,0
1226,3
1227,3
1228,3
1229,5
1230,1
1231,2
1232,5
1233,1
1234,4
1235,5
1236,5
1237,4
1238,1
1239,0
1240,4
1241,1
1242,2
1243,3
1244,1
1245,1
1246,4
1247,1
1248,2
1249,0
1250,2
1251,5
1252,1
1253,3
1254,1
1255,1
1256,4
1257,5
1258,3
1259,0
1260,3
1261,2
1262,4
1263,2
1264,5
1265,0
1266,1
1267,5
1268,4
1269,5
1270,3
1271,5
1272,0
1273,5
1274,3
1275,5
1276,4
1277,0
1278,5
1279,1
1280,4
1281,0
1282,0
1283,3
1284,3
1285,4
1286,4
1287,3
1288,2
1289,0
1290,5
1291,5
1292,4
1293,4
1294,4
1295,3
1296,3
1297,1
1298,5
1299,2
1300,2
1301,1
1302,5
1303,0
1304,2
1305,0
1306,4
1307,4
1308,3
1309,0
1310,4
1311,3
1312,0
1313,4
1314,2
1315,3
1316,1
1317,5
1318,1
1319,1
1320,0
1321,4
1322,4
1323,2
1324,3
1325,2
1326,2
1327,4
1328,5
1329,0
1330,3
1331,2
1332,5
1333,0
1334,3
1335,5
1336,0
1337,5
1338,3
1339,0
1340,3
1341,5
1342,0
1343,2
1344,5
1345,2
1346,2
1347,3
1348,0
1349,4
1350,2
1351,2
1352,3
1353,5
1354,0
1355,1
1356,5
1357,2
1358,5
1359,0
1360,4
1361,2
1362,4
1363,3
1364,4
1365,2
1366,0
1367,3
1368,0
1369,1
1370,2
1371,1
1372,3
1373,0
1374,1
1375,0
1376,1
1377,3
1378,4
1379,3
1380,4
1381,3
1382,3
1383,3
1384,3
1385,0
1386,2
1387,0
1388,0
1389,1
1390,1
1391,1
1392,2
1393,3
1394,3
1395,5
1396,4
1397,4
1398,0
1399,4
1400,3
1401,0
1402,2
1403,2
1404,3
1405,2
1406,1
1407,5
1408,5
1409,1
1410,0
1411,0
1412,3
1413,2
1414,3
1415,5
1416,3
1417,3
1418,2
1419,4
1420,0
1421,5
1422,4
1423,5
1424,1
1425,2
1426,4
1427,2
1428,5
1429,2
1430,2
1431,0
1432,2
1433,0
1434,2
1435,1
1436,1
1437,1
1438,4
1439,0
1440,2
1441,1
1442,1
1443,1
1444,4
1445,5
1446,1
1447,2
1448,0
1449,0
1450,2
1451,3
1452,2
1453,2
1454,3
1455,4
1456,5
1457,4
1458,2
1459,2
1460,5
1461,1
1462,4
1463,4
1464,0
1465,0
1466,3
1467,1
1468,4
1469,4
1470,0
1471,3
1472,0
1473,0
1474,1
1475,4
1476,2
1477,5
1478,1
1479,4
1480,3
1481,3
1482,0
1483,1
1484,3
1485,2
1486,2
1487,4
1488,2
1489,1
1490,5
1491,5
1492,1
1493,4
1494,2
1495,1
1496,5
1497,2
1498,5
1499,4
1500,2
1501,2
1502,2
1503,4
1504,2
1505,0
1506,1
1507,3
1508,1
1509,3
1510,0
1511,0
1512,3
1513,5
1514,1
1515,0
1516,1
1517,4
1518,3
1519,1
1520,4
1521,2
1522,2
1523,3
1524,3
1525,5
1526,4
1527,4
1528,3
1529,1
1530,1
1531,4
1532,0
1533,2
1534,1
1535,2
1536,4
1537,1
1538,1
1539,3
1540,2
1541,1
1542,0
1543,0
1544,5
1545,4
1546,5
1547,5
1548,1
1549,5
1550,0
1551,2
1552,5
1553,1
1554,3
1555,0
1556,5
1557,4
1558,1
1559,2
1560,2
1561,4
1562,5
1563,1
1564,4
1565,5
1566,4
1567,3
1568,3
1569,2
1570,4
1571,4
1572,2
1573,3
1574,2
1575,3
1576,1
1577,3
1578,1
1579,4
1580,0
1581,2
1582,0
1583,1
1584,1
1585,3
1586,3
1587,5
1588,5
1589,5
1590,2
1591,3
1592,5
1593,5
1594,0
1595,4
1596,1
1597,1
1598,5
1599,5
1600,0
1601,5
1602,0
1603,1
1604,2
1605,3
1606,5
1607,5
1608,3
1609,0
1610,1
1611,1
1612,2
1613,3
1614,1
1615,2
1616,3
1617,0
1618,5
1619,5
1620,1
1621,3
1622,1
1623,2
1624,2
1625,4
1626,2
1627,5
1628,3
1629,5
1630,1
1631,2
1632,0
1633,4
1634,0
1635,4
1636,5
1637,0
1638,4
1639,5
1640,3
1641,2
1642,0
1643,3
1644,2
1645,4
1646,0
1647,0
1648,5
1649,4
1650,1
1651,5
1652,4
1653,5
1654,5
1655,3
1656,5
1657,1
1658,4
1659,1
1660,5
1661,1
1662,3
1663,0
1664,1
1665,5
1666,1
1667,0
1668,0
1669,5
1670,0
1671,3
1672,5
1673,0
1674,0
1675,5
1676,5
1677,5
1678,0
1679,3
1680,0
1681,4
1682,0
1683,3
1684,0
1685,1
1686,2
1687,4
1688,2
1689,3
1690,4
1691,0
1692,1
1693,5
1694,3
1695,5
1696,2
1697,1
1698,2
1699,5
1700,3
1701,3
1702,2
1703,2
1704,3
1705,4
1706,4
1707,5
1708,3
1709,0
1710,5
1711,1
1712,0
1713,4
1714,4
1715,5
1716,0
1717,2
1718,1
1719,5
1720,0
1721,1
1722,4
1723,3
1724,0
1725,3
1726,1
1727,0
1728,5
1729,5
1730,4
1731,2
1732,4
1733,5
1734,5
1735,0
1736,4
1737,5
1738,1
1739,4
1740,0
1741,3
1742,3
1743,4
1744,2
1745,5
1746,2
1747,3
1748,5
1749,1
1750,3
1751,4
1752,5
1753,1
1754,5
1755,5
1756,5
1757,3
1758,4
1759,1
1760,2
1761,0
1762,5
1763,3
1764,4
1765,5
1766,5
1767,2
1768,5
1769,1
1770,5
1771,2
1772,1
1773,4
1774,5
1775,0
1776,3
1777,5
1778,4
1779,0
1780,0
1781,0
1782,1
1783,3
1784,4
1785,5
1786,3
1787,2
1788,3
1789,2
1790,3
1791,0
1792,5
1793,0
1794,1
1795,3
1796,5
1797,1
1798,0
1799,4
1800,4
1801,3
1802,0
1803,0
1804,0
1805,2
1806,1
1807,1
1808,1
1809,0
1810,2
1811,3
1812,3
1813,1
1814,3
1815,5
1816,2
1817,5
1818,2
1819,0
1820,5
1821,3
1822,4
1823,5
1824,2
1825,4
1826,3
1827,1
1828,4
1829,5
1830,4
1831,2
1832,1
1833,5
1834,5
1835,5
1836,1
1837,3
1838,4
1839,4
1840,3
1841,4
1842,5
1843,5
1844,4
1845,1
1846,3
1847,0
1848,2
1849,1
1850,4
1851,5
1852,3
1853,5
1854,4
1855,1
1856,3
1857,5
1858,3
1859,4
1860,3
1861,2
1862,2
1863,2
1864,4
1865,5
1866,0
1867,2
1868,4
1869,0
1870,4
1871,0
1872,3
1873,0
1874,5
1875,3
1876,1
1877,0
1878,5
1879,2
1880,0
1881,2
1882,3
1883,0
1884,5
1885,4
1886,4
1887,4
1888,0
1889,4
1890,2
1891,1
1892,3
1893,0
1894,3
1895,2
1896,5
1897,5
1898,5
1899,3
1900,1
1901,4
1902,3
1903,5
1904,4
1905,2
1906,0
1907,3
1908,2
1909,2
1910,0
1911,5
1912,0
1913,4
1914,5
1915,3
1916,4
1917,2
1918,2
1919,3
1920,2
1921,4
1922,0
1923,5
1924,3
1925,1
1926,2
1927,4
1928,3
1929,2
1930,4
1931,0
1932,3
1933,4
1934,2
1935,2
1936,0
1937,0
1938,3
1939,4
1940,0
1941,5
1942,0
1943,1
1944,2
1945,2
1946,4
1947,3
1948,3
1949,4
1950,2
1951,0
1952,1
1953,5
1954,3
1955,1
1956,2
1957,0
1958,5
1959,0
1960,5
1961,1
1962,1
1963,1
1964,2
1965,0
1966,0
1967,0
1968,5
1969,3
1970,4
1971,0
1972,1
1973,2
1974,4
1975,3
1976,4
1977,5
1978,0
1979,3
1980,4
1981,0
1982,4
1983,5
1984,1
1985,2
1986,0
1987,4
1988,0
1989,0
1990,4
1991,1
1992,3
1993,0
1994,3
1995,1
1996,5
1997,4
1998,0
1999,0
2000,5
2001,2
2002,5
2003,2
2004,0
2005,5
2006,1
2007,4
2008,0
2009,0
2010,0
2011,2
2012,5
2013,5
2014,2
2015,5
2016,5
2017,1
2018,1
2019,3
2020,4
2021,5
2022,3
2023,1
2024,1
2025,5
2026,5
2027,1
2028,2
2029,5
2030,1
2031,0
2032,0
2033,2
2034,5
2035,0
2036,1
2037,4
2038,0
2039,5
2040,1
2041,4
2042,0
2043,5
2044,0
2045,1
2046,2
2047,3
2048,4
2049,2
2050,3
2051,1
2052,5
2053,1
2054,5
2055,0
2056,3
2057,4
2058,2
2059,0
2060,3
2061,3
2062,5
2063,4
2064,0
2065,4
2066,2
2067,1
2068,5
2069,1
2070,3
2071,0
2072,0
2073,3
2074,0
2075,2
2076,4
2077,2
2078,3
2079,0
2080,3
2081,4
2082,3
2083,0
2084,1
2085,5
2086,3
2087,4
2088,0
2089,4
2090,0
2091,4
2092,3
2093,0
2094,5
2095,2
2096,4
2097,4
2098,2
2099,5
2100,0
2101,1
2102,0
2103,5
2104,1
2105,1
2106,1
2107,4
2108,3
2109,5
2110,5
2111,2
2112,3
2113,4
2114,1
2115,0
2116,3
2117,2
2118,3
2119,2
2120,0
2121,4
2122,0
2123,1
2124,1
2125,4
2126,0
2127,4
2128,4
2129,3
2130,4
2131,2
2132,2
2133,5
2134,4
2135,0
2136,3
2137,4
2138,1
2139,4
2140,2
2141,3
2142,0
2143,2
2144,5
2145,2
2146,5
2147,0
2148,4
2149,5
2150,1
2151,3
2152,1
2153,5
2154,4
2155,0
2156,3
2157,1
2158,0
2159,0
2160,1
2161,1
2162,2
2163,2
2164,3
2165,0
2166,1
2167,2
2168,2
2169,4
2170,5
2171,1
2172,4
2173,0
2174,5
2175,0
2176,4
2177,1
2178,1
2179,2
2180,3
2181,1
2182,0
2183,4
2184,5
2185,1
2186,0
2187,4
2188,0
2189,4
2190,3
2191,5
2192,5
2193,5
2194,0
2195,3
2196,2
2197,2
2198,4
2199,2
2200,0
2201,0
2202,4
2203,0
2204,0
2205,3
2206,5
2207,2
2208,4
2209,1
2210,5
2211,3
2212,2
2213,5
2214,3
2215,2
2216,0
2217,4
2218,3
2219,0
2220,1
2221,5
2222,2
2223,5
2224,3
2225,3
2226,5
2227,0
2228,4
2229,5
2230,1
2231,0
2232,1
2233,1
2234,2
2235,1
2236,4
2237,0
2238,4
2239,2
2240,1
2241,5
2242,1
2243,0
2244,4
2245,0
2246,1
2247,1
2248,0
2249,0
2250,0
2251,5
2252,4
2253,3
2254,5
2255,0
2256,3
2257,2
2258,3
2259,1
2260,4
2261,3
2262,0
2263,4
2264,5
2265,4
2266,1
2267,3
2268,4
2269,0
2270,2
2271,0
2272,4
2273,4
2274,0
2275,3
2276,2
2277,0
2278,0
2279,5
2280,4
2281,2
2282,3
2283,1
2284,5
2285,3
2286,1
2287,3
2288,2
2289,1
2290,2
2291,2
2292,0
2293,4
2294,4
2295,2
2296,2
2297,2
2298,4
2299,4
2300,0
2301,0
2302,1
2303,2
2304,2
2305,4
2306,4
2307,5
2308,5
2309,0
2310,3
2311,4
2312,4
2313,2
2314,5
2315,4
2316,0
2317,0
2318,5
2319,1
2320,5
2321,0
2322,1
2323,0
2324,1
2325,3
2326,3
2327,1
2328,0
2329,0
2330,0
2331,2
2332,2
2333,1
2334,0
2335,5
2336,0
2337,1
2338,0
2339,3
2340,2
2341,0
2342,4
2343,0
2344,4
2345,1
2346,0
2347,5
2348,2
2349,5
2350,2
2351,2
2352,0
2353,2
2354,1
2355,0
2356,2
2357,0
2358,5
2359,1
2360,1
2361,1
2362,3
2363,2
2364,3
2365,0
2366,4
2367,5
2368,4
2369,1
2370,4
2371,2
2372,1
2373,1
2374,4
2375,0
2376,2
2377,5
2378,0
2379,5
2380,5
2381,1
2382,1
2383,2
2384,0
2385,4
2386,5
2387,3
2388,0
2389,5
2390,1
2391,0
2392,0
2393,2
2394,2
2395,1
2396,4
2397,1
2398,3
2399,2
2400,4
2401,3
2402,2
2403,0
2404,3
2405,1
2406,0
2407,4
2408,2
2409,2
2410,3
2411,2
2412,1
2413,0
2414,5
2415,3
2416,0
2417,0
2418,3
2419,5
2420,3
2421,0
2422,4
2423,1
2424,2
2425,5
2426,1
2427,4
2428,4
2429,4
2430,3
2431,3
2432,2
2433,3
2434,5
2435,1
2436,3
2437,3
2438,4
2439,1
2440,3
2441,4
2442,0
2443,4
2444,4
2445,1
2446,1
2447,2
2448,1
2449,1
2450,4
2451,4
2452,3
2453,3
2454,4
2455,2
2456,5
2457,5
2458,5
2459,1
2460,0
2461,2
2462,5
2463,5
2464,0
2465,3
2466,4
2467,1
2468,1
2469,2
2470,4
2471,2
2472,2
2473,3
2474,0
2475,0
2476,3
2477,0
2478,4
2479,5
2480,4
2481,0
2482,3
2483,3
2484,1
2485,3
2486,3
2487,1
2488,5
2489,5
2490,1
2491,3
2492,1
2493,5
2494,5
2495,5
2496,0
2497,1
2498,5
2499,4
2500,0
2501,0
2502,4
2503,0
2504,2
2505,0
2506,0
2507,5
2508,0
2509,3
2510,3
2511,2
2512,2
2513,5
2514,0
2515,5
2516,4
2517,3
2518,4
2519,5
2520,5
2521,2
2522,1
2523,1
2524,0
2525,5
2526,0
2527,2
2528,2
2529,4
2530,4
2531,5
2532,5
2533,4
2534,0
2535,2
2536,3
2537,3
2538,5
2539,0
2540,2
2541,4
2542,0
2543,1
2544,0
2545,1
2546,2
2547,1
2548,1
2549,2
2550,3
2551,3
2552,3
2553,1
2554,1
2555,5
2556,3
2557,0
2558,3
2559,2
2560,5
2561,4
2562,4
2563,2
2564,1
2565,0
2566,2
2567,5
2568,1
2569,0
2570,1
2571,3
2572,3
2573,4
2574,3
2575,1
2576,2
2577,4
2578,1
2579,3
2580,1
2581,1
2582,0
2583,2
2584,4
2585,4
2586,5
2587,1
2588,4
2589,3
2590,3
2591,0
2592,5
2593,3
2594,4
2595,5
2596,1
2597,3
2598,2
2599,2
2600,0
2601,3
2602,5
2603,2
2604,3
2605,2
2606,4
2607,3
2608,4
2609,0
2610,2
2611,2
2612,5
2613,1
2614,4
2615,2
2616,1
2617,1
2618,0
2619,3
2620,3
2621,0
2622,1
2623,3
2624,0
2625,5
2626,0
2627,4
2628,1
2629,0
2630,3
2631,2
2632,4
2633,3
2634,1
2635,2
2636,0
2637,4
2638,3
2639,3
2640,1
2641,1
2642,3
2643,0
2644,1
2645,3
2646,1
2647,4
2648,5
2649,0
2650,3
2651,3
2652,3
2653,5
2654,4
2655,4
2656,0
2657,4
2658,2
2659,4
2660,3
2661,1
2662,0
2663,0
2664,3
2665,1
2666,4
2667,3
2668,3
2669,0
2670,2
2671,4
2672,0
2673,4
2674,2
2675,0
2676,5
2677,0
2678,2
2679,4
2680,5
2681,4
2682,3
2683,5
2684,1
2685,3
2686,2
2687,4
2688,5
2689,2
2690,4
2691,0
2692,2
2693,3
2694,4
2695,4
2696,0
2697,0
2698,2
2699,1
2700,5
2701,0
2702,0
2703,3
2704,0
2705,5
2706,5
2707,1
2708,1
2709,3
2710,0
2711,5
2712,0
2713,0
2714,0
2715,5
2716,3
2717,5
2718,0
2719,0
2720,5
2721,0
2722,2
2723,3
2724,0
2725,4
2726,3
2727,0
2728,2
2729,3
2730,1
2731,3
2732,5
2733,2
2734,3
2735,4
2736,4
2737,4
2738,4
2739,0
2740,5
2741,0
2742,0
2743,0
2744,3
2745,3
2746,3
2747,0
2748,2
2749,2
2750,5
2751,0
2752,5
2753,0
2754,3
2755,0
2756,5
2757,5
2758,1
2759,2
2760,3
2761,2
2762,3
2763,3
2764,2
2765,2
2766,1
2767,3
2768,4
2769,0
2770,5
2771,2
2772,0
2773,4
2774,2
2775,5
2776,1
2777,2
2778,5
2779,5
2780,0
2781,0
2782,3
2783,2
2784,3
2785,3
2786,0
2787,4
2788,1
2789,3
2790,5
2791,5
2792,4
2793,5
2794,3
2795,4
2796,5
2797,1
2798,2
2799,5
2800,0
2801,0
2802,4
2803,5
2804,5
2805,3
2806,0
2807,0
2808,2
2809,2
2810,4
2811,0
2812,5
2813,1
2814,2
2815,0
2816,1
2817,0
2818,3
2819,4
2820,5
2821,4
2822,3
2823,3
2824,3
2825,1
2826,2
2827,4
2828,5
2829,2
2830,3
2831,5
2832,2
2833,5
2834,2
2835,4
2836,4
2837,3
2838,4
2839,5
2840,2
2841,0
2842,0
2843,3
2844,5
2845,4
2846,2
2847,1
2848,2
2849,1
2850,4
2851,4
2852,4
2853,0
2854,4
2855,3
2856,5
2857,2
2858,5
2859,3
2860,4
2861,4
2862,0
2863,4
2864,0
2865,0
2866,1
2867,5
2868,4
2869,2
2870,4
2871,2
2872,0
2873,5
2874,5
2875,5
2876,2
2877,0
2878,0
2879,4
2880,1
2881,1
2882,5
2883,4
2884,1
2885,2
2886,3
2887,2
2888,1
2889,0
2890,2
2891,2
2892,5
2893,5
2894,4
2895,3
2896,2
2897,1
2898,5
2899,2
2900,5
2901,4
2902,0
2903,4
2904,5
2905,1
2906,1
2907,4
2908,1
2909,1
2910,5
2911,1
2912,2
2913,0
2914,5
2915,1
2916,5
2917,5
2918,2
2919,4
2920,2
2921,1
2922,1
2923,4
2924,5
2925,3
2926,1
2927,0
2928,2
2929,0
2930,1
2931,4
2932,2
2933,3
2934,5
2935,2
2936,4
2937,5
2938,1
2939,1
2940,4
2941,4
2942,1
2943,3
2944,3
2945,2
2946,4
2947,1
2948,2
2949,4
2950,2
2951,3
2952,1
2953,1
2954,2
2955,5
2956,0
2957,0
2958,0
2959,5
2960,3
2961,0
2962,1
2963,4
2964,4
2965,4
2966,0
2967,4
2968,4
2969,1
2970,1
2971,0
2972,0
2973,4
2974,4
2975,0
2976,1
2977,4
2978,3
2979,1
2980,0
2981,1
2982,5
2983,1
2984,0
2985,5
2986,2
2987,1
2988,4
2989,0
2990,2
2991,4
2992,1
2993,4
2994,4
2995,3
2996,0
2997,0
